brew_id,barista,brew_date,roaster,coffee_name,roast_level,roast_date,grinder,grind_setting,brew_method,brewer_brand,brewer_model,filter_material,dose_g,notes_overall,notes_intensities,sweetness_0_10,acidity_0_10,bitterness_0_10,body_0_10,overall_0_10,total_water_g,total_coffee_g,water_temp_c,off_boil_wait_sec,bloom_water_g,bloom_time_sec,preinfusion_time_sec,total_brew_time_sec,tamp_level,agitation_method,num_pours,orientation,steep_time_sec
b1,Andrew,1/22/26,K&F Coffee,Guatemala,medium,11/17/25,KinGrinder K1,40 clicks,phin,Thang Long,4oz,metal,15.8,concentrated citrus with body,citrus:8;chocolate:2,2,7,1,6,6,98.3,,,60,22.7,30,,1110,,,2,,
b2,Andrew,1/22/26,Oak Cliff Coffee,La Limonera,medium-light,12/22/25,KinGrinder K1,40 clicks,espresso,Breville,Express,metal,18,chocolate,chocolate:9,3,1,5,8,7,,32,,,,,8,32,3,,,,
